block,steth_pool_balance,eth_pool_balance
13056777,546366.2418808872,517809.91635775776
13056783,546368.7200058872,517807.4413381293
13056938,546368.7777190201,518517.71307412727
13057016,546372.7454477476,518916.7088214328
13057020,546361.7365166362,518927.7088214327
13057070,546367.63648652,518932.6902912347
13057229,546372.2264772037,518930.26782783034
13057282,546374.472854879,519007.0148620845
13057282,546374.472854879,519007.0148620845
13057293,546378.1581070789,519003.3340619698
13057298,546382.5645738036,518998.9329199317
13057326,546385.3145718748,518997.68533523474
13057570,546390.8627671808,525052.5531234461
13057593,546384.5805060302,525058.9317664026
13057614,546388.0743841777,525175.4290664213
13057630,546393.9893178671,525169.5199096141
13057637,546399.983217867,525163.5318662341
13057717,546400.4309196654,525163.0846019892
13057797,546400.4220685578,525161.0944178709
13057812,546419.4615166569,525142.0735926456
13057821,547419.4125385828,525141.0256683074
13057871,547512.6056266474,525047.9274650369
13057927,547510.6021130941,525094.4251943476
13057932,547520.2765122901,525084.7606640769
13057943,547538.3138841735,525066.741710542
13057954,547539.3810361219,525065.6756490315
13057956,547541.5226096441,525063.5362640647
13057959,547545.3150220641,525059.7477280791
13058047,547536.3028962801,525068.7566463655
13058047,547536.3028962801,525068.7566463655
13058178,547530.4423053951,525085.3824968081
13058258,547530.410821134,524764.3348223895
13058320,547535.866002104,524758.8852766578
13058420,547529.5891481717,524798.0270014483
13058429,547529.9206476727,524797.6958438988
13058531,547482.1090259644,526493.1895854519
13058532,547478.1067581233,526497.189585452
13058602,547478.3067581232,526496.9897786985
13058604,547493.088474079,526482.2223534241
13058671,547497.7840650791,526475.875171074
13058707,547597.9908753696,526391.67201991
13058742,548068.3139457101,526401.3676322493
13058800,548078.3903084304,526411.2960929866
13058900,548064.0741837317,526415.3955941882
13058946,548062.9412513142,526423.1554176611
13058946,548062.9412513142,526423.1554176611
13058949,548563.2657995931,525925.3344588166
13058949,548563.2657995931,525925.3344588166
13058956,548557.616961302,525930.9797580865
13058994,548577.7168699007,525912.6898725983
13059051,548459.0202744422,526056.3100360781
13059068,548451.9124249044,526049.802329295
13059070,548461.5404549944,526040.1841019064
13059082,548711.5404549944,525790.4410089044
13059109,548731.6007763515,525770.4015000046
13059137,548691.4881143649,525810.4886080046
13059166,548698.7377657325,525803.2464640844
13059186,548700.13142757,525800.8113464612
13059210,548705.5140181844,525919.4216503275
13059235,548709.5440181843,525906.2850014291
13059273,548714.363566221,525901.4704297729
13059449,548708.3534285745,545546.739016729
13059548,548716.4119806493,545543.6824887343
13059782,548721.8606387014,545564.9928522949
13059789,548720.866725098,545565.9868522949
13059832,548724.7852513645,545557.0688977356
13059839,548728.5681087947,545553.2872267205
13059997,548727.7610946452,545571.7513415612
13060139,548731.3135921145,545658.7212862632
13060159,548735.2669069291,545636.7675802473
13060200,548740.5705841064,545631.4655535469
13060348,548775.8582060853,545705.8799124783
13060360,548771.7591534703,545709.9793347083
13060362,548772.4891534703,545709.2495607927
13060400,548782.6403900646,545699.101472039
13060445,548790.0919026475,545778.6435283935
13060453,548795.9968278741,545772.7404223469
13060473,548799.4658085892,545769.2725115143
13060532,548811.66723202,545760.0745559236
13060547,548815.4460348148,545756.2969224409
